DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
250904104,2/11/2025 0:00,2/10/2025 0:00,1235,9,Van Nuys,952,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 1815,13,M,B,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5400    VESPER                       AV,,34.1685,-118.4509
251604096,2/10/2025 0:00,2/10/2025 0:00,1100,16,Foothill,1634,2,888,TRESPASSING,2004 1501,0,X,X,109,PARK/PLAYGROUND,,,IC,Invest Cont,888,,,,11700    FOOTHILL                     BL,,34.2729,-118.3909
251904115,2/11/2025 0:00,2/10/2025 0:00,1415,19,Mission,1994,2,940,EXTORTION,1258 0337,13,M,H,104,DRIVEWAY,,,IC,Invest Cont,940,,,,15000    ROSCOE                       BL,,34.2215,-118.4592
251004135,2/9/2025 0:00,2/9/2025 0:00,1200,10,West Valley,1049,2,888,TRESPASSING,1822 2004,0,M,W,109,PARK/PLAYGROUND,,,IC,Invest Cont,888,,,,6300    WOODLEY                      AV,,34.1822,-118.4836
251104105,2/9/2025 0:00,2/9/2025 0:00,1345,11,Northeast,1101,2,624,BATTERY - SIMPLE ASSAULT,356,0,X,X,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
250304163,2/10/2025 0:00,2/8/2025 0:00,1900,3,Southwest,357,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,1100 W  37TH                         PL,,34.02,-118.2915
250404088,2/10/2025 0:00,2/8/2025 0:00,1430,4,Hollenbeck,479,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,0,X,X,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,341,,,,700 S  INDIANA                      ST,,34.0248,-118.1956
250304147,2/8/2025 0:00,2/8/2025 0:00,1849,3,Southwest,338,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,1200 W  29TH                         ST,,34.0284,-118.2866
250304150,2/8/2025 0:00,2/8/2025 0:00,1900,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,600 W  34TH                         ST,,34.0212,-118.2805
250304159,2/9/2025 0:00,2/8/2025 0:00,1430,3,Southwest,327,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,1200 W  29TH                         ST,,34.0305,-118.2865
250504153,2/11/2025 0:00,2/7/2025 0:00,20,5,Harbor,527,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,600 W  HARRY BRIDGE                 BL,,33.7626,-118.2687
251704115,2/10/2025 0:00,2/7/2025 0:00,1700,17,Devonshire,1717,1,310,BURGLARY,0344 0397,0,X,X,721,HIGH SCHOOL,,,IC,Invest Cont,310,,,,11200    GOTHIC                       AV,,34.2737,-118.4887
250404077,2/7/2025 0:00,2/7/2025 0:00,900,4,Hollenbeck,467,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1259 0302 1251,17,M,H,721,HIGH SCHOOL,102,HAND GUN,IC,Invest Cont,230,,,,400 S  MATHEWS                      ST,,34.0401,-118.2107
251604088,2/7/2025 0:00,2/7/2025 0:00,1311,16,Foothill,1633,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,31,M,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740,,,,OSBORNE,GLENOAKS,34.2647,-118.4019
250304167,2/11/2025 0:00,2/7/2025 0:00,2115,3,Southwest,357,1,510,VEHICLE - STOLEN,,0,,,102,SIDEWALK,,,IC,Invest Cont,510,,,,1000    EXPOSITION                   BL,,34.0184,-118.2952
250304146,2/7/2025 0:00,2/7/2025 0:00,1640,3,Southwest,359,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,600    EXPOSITION                   BL,,34.0184,-118.2815
251804137,2/10/2025 0:00,2/6/2025 0:00,2100,18,Southeast,1846,2,813,CHILD ANNOYING (17YRS & UNDER),1822 1259 1251 1912 1913,16,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,813,,,,11400    SUCCESS                      AV,,33.9305,-118.2493
