Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
181168924,2024-12-31,3,290,"Destruction, damage, vandalism",1,17E10,"Residence, Home (Includes Apartment)",6200,GULFTON,ST,,HOUSTON,77081.0,-95.490814,29.716366
181168924,2024-12-31,3,90J,Trespass of real property,1,17E10,"Residence, Home (Includes Apartment)",6200,GULFTON,ST,,HOUSTON,77081.0,-95.490814,29.716366
181169724,2024-12-31,3,220,"Burglary, Breaking and Entering",1,5F30,"Commercial, Office Building",6707,SAM HOUSTON,PKWY,W,HOUSTON,77041.0,-95.564254,29.867654
181171324,2024-12-31,3,90J,Trespass of real property,1,17E30,"Parking Lot, Garage",9301,BISSONNET,ST,,HOUSTON,77074.0,-95.539284,29.676025
181171324,2024-12-31,3,13A,Aggravated Assault,1,17E30,"Parking Lot, Garage",9301,BISSONNET,ST,,HOUSTON,77074.0,-95.539284,29.676025
181203624,2024-12-31,3,220,"Burglary, Breaking and Entering",1,17E30,Construction Site,11615,DOVER,ST,,HOUSTON,77031.0,-95.555541,29.652467
181216424,2024-12-31,3,240,Motor vehicle theft,1,18F50,"Hotel, Motel, ETC",6978,WINDWATER,PKWY,,HOUSTON,77036.0,-95.506328,29.713609
181217224,2024-12-31,3,290,"Destruction, damage, vandalism",1,20G50,Restaurant,10911,KATY,FWY,,HOUSTON,77079.0,-95.570279,29.784009
181217224,2024-12-31,3,220,"Burglary, Breaking and Entering",1,20G50,Restaurant,10911,KATY,FWY,,HOUSTON,77079.0,-95.570279,29.784009
181326124,2024-12-31,3,220,"Burglary, Breaking and Entering",1,18F50,Rental Storage Facility,9000,WESTPARK,DR,,HOUSTON,77063.0,-95.522535,29.72129
181175924,2024-12-31,4,23F,Theft from motor vehicle,1,9C40,"Residence, Home (Includes Apartment)",451,MAXEY,RD,,HOUSTON,77013.0,-95.218648,29.789301
181176624,2024-12-31,4,220,"Burglary, Breaking and Entering",1,2A20,"Bar, Nightclub",6412,MAIN,ST,N,HOUSTON,77009.0,-95.389577,29.808326
